date,state_name,2m max temperature
2005-01-01,ILLINOIS,281.98935
2005-01-02,ILLINOIS,287.5799
2005-01-03,ILLINOIS,280.1963
2005-01-04,ILLINOIS,277.75946
2005-01-05,ILLINOIS,275.99216
2005-01-06,ILLINOIS,271.80847
2005-01-07,ILLINOIS,272.39926
2005-01-08,ILLINOIS,272.44864
2005-01-09,ILLINOIS,278.54816
2005-01-10,ILLINOIS,276.91678
2005-01-11,ILLINOIS,279.03195
2005-01-12,ILLINOIS,289.47156
2005-01-13,ILLINOIS,288.2661
2005-01-14,ILLINOIS,270.43942
2005-01-15,ILLINOIS,265.90756
2005-01-16,ILLINOIS,265.42874
2005-01-17,ILLINOIS,265.43802
2005-01-18,ILLINOIS,269.21936
2005-01-19,ILLINOIS,276.23248
2005-01-20,ILLINOIS,277.16586
2005-01-21,ILLINOIS,273.6848
2005-01-22,ILLINOIS,271.3299
2005-01-23,ILLINOIS,268.33017
2005-01-24,ILLINOIS,277.9066
2005-01-25,ILLINOIS,283.3696
2005-01-26,ILLINOIS,279.7065
2005-01-27,ILLINOIS,272.20117
2005-01-28,ILLINOIS,274.17065
2005-01-29,ILLINOIS,274.40652
2005-01-30,ILLINOIS,276.56342
2005-01-31,ILLINOIS,276.18478
2005-02-01,ILLINOIS,277.43845
2005-02-02,ILLINOIS,277.26123
2005-02-03,ILLINOIS,280.93317
2005-02-04,ILLINOIS,285.21323
2005-02-05,ILLINOIS,286.4286
2005-02-06,ILLINOIS,283.13638
2005-02-07,ILLINOIS,282.27704
2005-02-08,ILLINOIS,279.27112
2005-02-09,ILLINOIS,275.49915
2005-02-10,ILLINOIS,273.36115
2005-02-11,ILLINOIS,280.17276
2005-02-12,ILLINOIS,284.7517
2005-02-13,ILLINOIS,281.56448
2005-02-14,ILLINOIS,284.73068
2005-02-15,ILLINOIS,287.2881
2005-02-16,ILLINOIS,281.1936
2005-02-17,ILLINOIS,274.93463
2005-02-18,ILLINOIS,274.06226
2005-02-19,ILLINOIS,277.34372
2005-02-20,ILLINOIS,283.06955
2005-02-21,ILLINOIS,282.21872
2005-02-22,ILLINOIS,278.4629
2005-02-23,ILLINOIS,277.39832
2005-02-24,ILLINOIS,277.7721
2005-02-25,ILLINOIS,282.35858
2005-02-26,ILLINOIS,280.65942
2005-02-27,ILLINOIS,281.68024
2005-02-28,ILLINOIS,279.53864
2005-03-01,ILLINOIS,272.77884
2005-03-02,ILLINOIS,275.11215
2005-03-03,ILLINOIS,278.40857
2005-03-04,ILLINOIS,285.96194
2005-03-05,ILLINOIS,283.02087
2005-03-06,ILLINOIS,290.53354
2005-03-07,ILLINOIS,287.56244
2005-03-08,ILLINOIS,276.80457
2005-03-09,ILLINOIS,275.39523
2005-03-10,ILLINOIS,280.9204
2005-03-11,ILLINOIS,279.16052
2005-03-12,ILLINOIS,278.81833
2005-03-13,ILLINOIS,276.429
2005-03-14,ILLINOIS,278.35297
2005-03-15,ILLINOIS,279.79636
2005-03-16,ILLINOIS,282.97852
2005-03-17,ILLINOIS,285.0469
2005-03-18,ILLINOIS,286.84204
2005-03-19,ILLINOIS,284.0996
2005-03-20,ILLINOIS,281.97055
2005-03-21,ILLINOIS,283.15717
2005-03-22,ILLINOIS,281.3676
2005-03-23,ILLINOIS,278.8152
2005-03-24,ILLINOIS,282.42435
2005-03-25,ILLINOIS,281.60718
2005-03-26,ILLINOIS,282.4004
2005-03-27,ILLINOIS,285.16547
2005-03-28,ILLINOIS,289.8498
2005-03-29,ILLINOIS,293.36316
2005-03-30,ILLINOIS,295.4609
2005-03-31,ILLINOIS,291.44058
2005-04-01,ILLINOIS,287.3018
2005-04-02,ILLINOIS,286.87683
2005-04-03,ILLINOIS,291.90393
2005-04-04,ILLINOIS,296.48486
2005-04-05,ILLINOIS,296.0606
2005-04-06,ILLINOIS,294.6507
2005-04-07,ILLINOIS,290.21548
2005-04-08,ILLINOIS,291.99017
2005-04-09,ILLINOIS,294.59586
2005-04-10,ILLINOIS,298.48148
2005-04-11,ILLINOIS,296.3527
2005-04-12,ILLINOIS,292.72842
2005-04-13,ILLINOIS,288.85898
2005-04-14,ILLINOIS,290.9855
2005-04-15,ILLINOIS,292.84885
2005-04-16,ILLINOIS,295.6521
2005-04-17,ILLINOIS,298.51147
2005-04-18,ILLINOIS,299.0826
2005-04-19,ILLINOIS,298.17932
2005-04-20,ILLINOIS,297.64282
2005-04-21,ILLINOIS,293.02664
2005-04-22,ILLINOIS,291.91245
2005-04-23,ILLINOIS,283.26514
2005-04-24,ILLINOIS,285.14554
2005-04-25,ILLINOIS,290.5486
2005-04-26,ILLINOIS,287.65726
2005-04-27,ILLINOIS,286.201
2005-04-28,ILLINOIS,286.4102
2005-04-29,ILLINOIS,286.47726
2005-04-30,ILLINOIS,286.87396
2005-05-01,ILLINOIS,285.619
2005-05-02,ILLINOIS,283.24295
2005-05-03,ILLINOIS,285.85645
2005-05-04,ILLINOIS,290.2052
2005-05-05,ILLINOIS,293.21677
2005-05-06,ILLINOIS,296.27747
2005-05-07,ILLINOIS,298.82043
2005-05-08,ILLINOIS,300.546
2005-05-09,ILLINOIS,297.9713
2005-05-10,ILLINOIS,301.17957
2005-05-11,ILLINOIS,301.31357
2005-05-12,ILLINOIS,294.72052
2005-05-13,ILLINOIS,298.8726
2005-05-14,ILLINOIS,294.73517
2005-05-15,ILLINOIS,289.69507
2005-05-16,ILLINOIS,290.87097
2005-05-17,ILLINOIS,295.54358
2005-05-18,ILLINOIS,298.4305
2005-05-19,ILLINOIS,300.25946
2005-05-20,ILLINOIS,297.12112
2005-05-21,ILLINOIS,296.68146
2005-05-22,ILLINOIS,299.91574
2005-05-23,ILLINOIS,298.54355
2005-05-24,ILLINOIS,295.86447
2005-05-25,ILLINOIS,295.32455
2005-05-26,ILLINOIS,296.2191
2005-05-27,ILLINOIS,296.3745
2005-05-28,ILLINOIS,295.09875
2005-05-29,ILLINOIS,297.24567
2005-05-30,ILLINOIS,297.30783
2005-05-31,ILLINOIS,299.2106
2005-06-01,ILLINOIS,300.62878
2005-06-02,ILLINOIS,298.8327
2005-06-03,ILLINOIS,298.4408
2005-06-04,ILLINOIS,304.76138
2005-06-05,ILLINOIS,304.82526
2005-06-06,ILLINOIS,304.22623
2005-06-07,ILLINOIS,305.68286
2005-06-08,ILLINOIS,305.43213
2005-06-09,ILLINOIS,304.33096
2005-06-10,ILLINOIS,304.3089
2005-06-11,ILLINOIS,302.51556
2005-06-12,ILLINOIS,300.395
2005-06-13,ILLINOIS,303.7904
2005-06-14,ILLINOIS,300.42572
2005-06-15,ILLINOIS,298.5563
2005-06-16,ILLINOIS,298.7041
2005-06-17,ILLINOIS,298.26956
2005-06-18,ILLINOIS,297.19635
2005-06-19,ILLINOIS,299.35077
2005-06-20,ILLINOIS,301.35287
2005-06-21,ILLINOIS,304.11914
2005-06-22,ILLINOIS,304.43723
2005-06-23,ILLINOIS,306.32858
2005-06-24,ILLINOIS,307.61618
2005-06-25,ILLINOIS,306.92722
2005-06-26,ILLINOIS,306.92807
2005-06-27,ILLINOIS,306.21338
2005-06-28,ILLINOIS,305.1628
2005-06-29,ILLINOIS,306.57626
2005-06-30,ILLINOIS,306.72235
2005-07-01,ILLINOIS,303.519
2005-07-02,ILLINOIS,299.50006
2005-07-03,ILLINOIS,304.00427
2005-07-04,ILLINOIS,303.8291
2005-07-05,ILLINOIS,302.0086
2005-07-06,ILLINOIS,301.27408
2005-07-07,ILLINOIS,301.5313
2005-07-08,ILLINOIS,302.71674
2005-07-09,ILLINOIS,304.33295
2005-07-10,ILLINOIS,305.17227
2005-07-11,ILLINOIS,304.06622
2005-07-12,ILLINOIS,300.17203
2005-07-13,ILLINOIS,300.5076
2005-07-14,ILLINOIS,303.17102
2005-07-15,ILLINOIS,303.07364
2005-07-16,ILLINOIS,303.86276
2005-07-17,ILLINOIS,305.12805
2005-07-18,ILLINOIS,304.79926
2005-07-19,ILLINOIS,303.7441
2005-07-20,ILLINOIS,306.66934
2005-07-21,ILLINOIS,307.47632
2005-07-22,ILLINOIS,305.72742
2005-07-23,ILLINOIS,305.94373
2005-07-24,ILLINOIS,309.94556
2005-07-25,ILLINOIS,308.73102
2005-07-26,ILLINOIS,307.11676
2005-07-27,ILLINOIS,299.8958
2005-07-28,ILLINOIS,298.55893
2005-07-29,ILLINOIS,301.53192
2005-07-30,ILLINOIS,302.813
2005-07-31,ILLINOIS,303.2548
2005-08-01,ILLINOIS,305.43655
2005-08-02,ILLINOIS,306.19037
2005-08-03,ILLINOIS,307.0808
2005-08-04,ILLINOIS,306.17395
2005-08-05,ILLINOIS,302.78864
2005-08-06,ILLINOIS,302.24634
2005-08-07,ILLINOIS,303.80756
2005-08-08,ILLINOIS,304.78262
2005-08-09,ILLINOIS,306.66553
2005-08-10,ILLINOIS,306.40878
2005-08-11,ILLINOIS,306.08875
2005-08-12,ILLINOIS,305.71655
2005-08-13,ILLINOIS,301.87924
2005-08-14,ILLINOIS,298.87268
2005-08-15,ILLINOIS,298.63046
2005-08-16,ILLINOIS,300.543
2005-08-17,ILLINOIS,300.92505
2005-08-18,ILLINOIS,303.58777
2005-08-19,ILLINOIS,305.1593
2005-08-20,ILLINOIS,303.77264
2005-08-21,ILLINOIS,302.72916
2005-08-22,ILLINOIS,300.8435
2005-08-23,ILLINOIS,298.0171
2005-08-24,ILLINOIS,299.84607
2005-08-25,ILLINOIS,300.70264
2005-08-26,ILLINOIS,300.95883
2005-08-27,ILLINOIS,301.8481
2005-08-28,ILLINOIS,303.00052
2005-08-29,ILLINOIS,302.21133
2005-08-30,ILLINOIS,300.1917
2005-08-31,ILLINOIS,300.24155
2005-09-01,ILLINOIS,301.61127
2005-09-02,ILLINOIS,302.08292
2005-09-03,ILLINOIS,302.18414
2005-09-04,ILLINOIS,303.24573
2005-09-05,ILLINOIS,302.796
2005-09-06,ILLINOIS,303.11908
2005-09-07,ILLINOIS,303.49033
2005-09-08,ILLINOIS,303.35333
