state_name,year,yield
ALABAMA,2005,33.0
ARKANSAS,2005,34.0
DELAWARE,2005,26.0
FLORIDA,2005,32.0
GEORGIA,2005,26.0
ILLINOIS,2005,46.5
INDIANA,2005,49.0
IOWA,2005,52.5
KANSAS,2005,37.0
KENTUCKY,2005,43.0
LOUISIANA,2005,34.0
MARYLAND,2005,34.0
MICHIGAN,2005,38.5
MINNESOTA,2005,45.5
MISSISSIPPI,2005,36.5
MISSOURI,2005,37.0
NEBRASKA,2005,50.5
NEW JERSEY,2005,28.0
NEW YORK,2005,42.0
NORTH CAROLINA,2005,27.0
NORTH DAKOTA,2005,36.5
OHIO,2005,45.0
OKLAHOMA,2005,26.0
PENNSYLVANIA,2005,41.0
SOUTH CAROLINA,2005,20.5
SOUTH DAKOTA,2005,35.0
TENNESSEE,2005,38.0
TEXAS,2005,26.0
VIRGINIA,2005,30.5
WEST VIRGINIA,2005,35.0
WISCONSIN,2005,44.0
ALABAMA,2006,20.0
ARKANSAS,2006,35.0
DELAWARE,2006,31.5
FLORIDA,2006,27.0
GEORGIA,2006,25.0
ILLINOIS,2006,48.0
INDIANA,2006,50.0
IOWA,2006,50.5
KANSAS,2006,32.0
KENTUCKY,2006,44.0
LOUISIANA,2006,36.0
MARYLAND,2006,34.0
MICHIGAN,2006,46.0
MINNESOTA,2006,44.5
MISSISSIPPI,2006,26.0
MISSOURI,2006,38.0
NEBRASKA,2006,50.0
NEW JERSEY,2006,35.0
NEW YORK,2006,46.0
NORTH CAROLINA,2006,32.0
NORTH DAKOTA,2006,31.5
OHIO,2006,47.0
OKLAHOMA,2006,17.0
PENNSYLVANIA,2006,40.0
SOUTH CAROLINA,2006,29.0
SOUTH DAKOTA,2006,34.0
TENNESSEE,2006,39.0
TEXAS,2006,24.0
VIRGINIA,2006,31.0
WEST VIRGINIA,2006,42.0
WISCONSIN,2006,44.0
ALABAMA,2007,21.0
ARKANSAS,2007,36.0
DELAWARE,2007,26.0
FLORIDA,2007,24.0
GEORGIA,2007,30.0
ILLINOIS,2007,43.5
INDIANA,2007,46.0
IOWA,2007,52.0
KANSAS,2007,33.0
KENTUCKY,2007,27.5
LOUISIANA,2007,43.0
MARYLAND,2007,27.5
MICHIGAN,2007,40.0
MINNESOTA,2007,42.5
MISSISSIPPI,2007,40.5
MISSOURI,2007,37.5
NEBRASKA,2007,51.0
NEW JERSEY,2007,31.0
NEW YORK,2007,39.0
NORTH CAROLINA,2007,22.0
NORTH DAKOTA,2007,35.5
OHIO,2007,47.0
OKLAHOMA,2007,26.0
PENNSYLVANIA,2007,41.0
SOUTH CAROLINA,2007,18.5
SOUTH DAKOTA,2007,42.0
TENNESSEE,2007,19.0
TEXAS,2007,37.5
VIRGINIA,2007,27.5
WEST VIRGINIA,2007,33.0
WISCONSIN,2007,40.5
ALABAMA,2008,35.0
ARKANSAS,2008,38.0
DELAWARE,2008,27.5
FLORIDA,2008,38.0
GEORGIA,2008,31.0
ILLINOIS,2008,47.0
INDIANA,2008,45.0
IOWA,2008,46.5
KANSAS,2008,37.0
KENTUCKY,2008,34.5
LOUISIANA,2008,33.0
MARYLAND,2008,30.0
MICHIGAN,2008,37.0
MINNESOTA,2008,38.0
MISSISSIPPI,2008,40.0
MISSOURI,2008,38.0
NEBRASKA,2008,46.5
NEW JERSEY,2008,30.0
NEW YORK,2008,46.0
NORTH CAROLINA,2008,33.0
NORTH DAKOTA,2008,28.0
OHIO,2008,36.0
OKLAHOMA,2008,25.0
PENNSYLVANIA,2008,40.0
SOUTH CAROLINA,2008,32.0
SOUTH DAKOTA,2008,34.0
TENNESSEE,2008,34.0
TEXAS,2008,24.5
VIRGINIA,2008,32.0
WEST VIRGINIA,2008,41.0
WISCONSIN,2008,35.0
ALABAMA,2009,40.0
ARKANSAS,2009,37.5
DELAWARE,2009,42.0
FLORIDA,2009,38.0
GEORGIA,2009,36.0
ILLINOIS,2009,46.0
INDIANA,2009,49.0
IOWA,2009,51.0
KANSAS,2009,44.5
KENTUCKY,2009,48.0
LOUISIANA,2009,39.0
MARYLAND,2009,42.0
MICHIGAN,2009,40.0
MINNESOTA,2009,40.0
MISSISSIPPI,2009,38.0
MISSOURI,2009,43.5
NEBRASKA,2009,54.5
NEW JERSEY,2009,42.0
NEW YORK,2009,43.0
NORTH CAROLINA,2009,34.0
NORTH DAKOTA,2009,30.0
OHIO,2009,49.0
OKLAHOMA,2009,31.0
PENNSYLVANIA,2009,46.0
SOUTH CAROLINA,2009,24.5
SOUTH DAKOTA,2009,42.0
TENNESSEE,2009,45.0
TEXAS,2009,25.5
VIRGINIA,2009,37.0
WEST VIRGINIA,2009,41.0
WISCONSIN,2009,40.0
ALABAMA,2010,26.0
ARKANSAS,2010,35.0
DELAWARE,2010,32.0
FLORIDA,2010,30.0
GEORGIA,2010,26.0
ILLINOIS,2010,51.5
INDIANA,2010,48.5
IOWA,2010,51.0
KANSAS,2010,33.0
KENTUCKY,2010,34.0
LOUISIANA,2010,41.0
MARYLAND,2010,34.0
MICHIGAN,2010,43.5
MINNESOTA,2010,45.0
MISSISSIPPI,2010,38.5
MISSOURI,2010,41.5
NEBRASKA,2010,52.5
NEW JERSEY,2010,24.0
NEW YORK,2010,48.0
NORTH CAROLINA,2010,26.0
NORTH DAKOTA,2010,34.0
OHIO,2010,48.0
OKLAHOMA,2010,25.0
PENNSYLVANIA,2010,42.0
SOUTH CAROLINA,2010,23.0
SOUTH DAKOTA,2010,38.0
TENNESSEE,2010,31.0
TEXAS,2010,30.0
VIRGINIA,2010,26.0
WEST VIRGINIA,2010,30.0
WISCONSIN,2010,50.5
ALABAMA,2011,33.0
ARKANSAS,2011,38.5
DELAWARE,2011,39.5
FLORIDA,2011,27.0
GEORGIA,2011,22.0
ILLINOIS,2011,47.5
INDIANA,2011,45.5
IOWA,2011,51.5
KANSAS,2011,27.5
KENTUCKY,2011,39.0
LOUISIANA,2011,36.0
MARYLAND,2011,39.0
MICHIGAN,2011,44.5
MINNESOTA,2011,39.0
MISSISSIPPI,2011,39.0
MISSOURI,2011,36.5
NEBRASKA,2011,54.0
NEW JERSEY,2011,38.0
NEW YORK,2011,43.0
NORTH CAROLINA,2011,30.5
NORTH DAKOTA,2011,29.0
OHIO,2011,48.0
OKLAHOMA,2011,13.0
PENNSYLVANIA,2011,44.0
SOUTH CAROLINA,2011,25.5
