date,state_name,total precipitation
2005-01-01,ILLINOIS,2.3983948
2005-01-02,ILLINOIS,7.6773596
2005-01-03,ILLINOIS,24.067541
2005-01-04,ILLINOIS,5.2301383
2005-01-05,ILLINOIS,27.008377
2005-01-06,ILLINOIS,7.135448
2005-01-07,ILLINOIS,0.097931184
2005-01-08,ILLINOIS,3.5172682
2005-01-09,ILLINOIS,0.0172848
2005-01-10,ILLINOIS,0.21886931
2005-01-11,ILLINOIS,8.905918
2005-01-12,ILLINOIS,6.5264416
2005-01-13,ILLINOIS,36.416702
2005-01-14,ILLINOIS,0.007104919
2005-01-15,ILLINOIS,0.042726815
2005-01-16,ILLINOIS,0.9561031
2005-01-17,ILLINOIS,0.0017786835
2005-01-18,ILLINOIS,0.019102586
2005-01-19,ILLINOIS,0.7388098
2005-01-20,ILLINOIS,0.8541835
2005-01-21,ILLINOIS,0.20530635
2005-01-22,ILLINOIS,4.1901226
2005-01-23,ILLINOIS,0.05300347
2005-01-24,ILLINOIS,9.491836e-06
2005-01-25,ILLINOIS,5.26417e-05
2005-01-26,ILLINOIS,0.31321037
2005-01-27,ILLINOIS,0.035044797
2005-01-28,ILLINOIS,0.0
2005-01-29,ILLINOIS,4.6022654
2005-01-30,ILLINOIS,0.18224037
2005-01-31,ILLINOIS,0.25200242
2005-02-01,ILLINOIS,0.0062588346
2005-02-02,ILLINOIS,0.7440188
2005-02-03,ILLINOIS,0.3225544
2005-02-04,ILLINOIS,0.0
2005-02-05,ILLINOIS,0.0
2005-02-06,ILLINOIS,0.67633224
2005-02-07,ILLINOIS,9.417351
2005-02-08,ILLINOIS,2.3391466
2005-02-09,ILLINOIS,3.866531
2005-02-10,ILLINOIS,0.40574577
2005-02-11,ILLINOIS,0.058554504
2005-02-12,ILLINOIS,0.0008612871
2005-02-13,ILLINOIS,15.984255
2005-02-14,ILLINOIS,6.2322984
2005-02-15,ILLINOIS,2.6290634
2005-02-16,ILLINOIS,2.8665898
2005-02-17,ILLINOIS,0.0020596217
2005-02-18,ILLINOIS,0.02561405
2005-02-19,ILLINOIS,0.4415979
2005-02-20,ILLINOIS,7.1653013
2005-02-21,ILLINOIS,0.7181935
2005-02-22,ILLINOIS,0.23420005
2005-02-23,ILLINOIS,0.2793523
2005-02-24,ILLINOIS,1.1262872
2005-02-25,ILLINOIS,0.04304129
2005-02-26,ILLINOIS,0.004595164
2005-02-27,ILLINOIS,0.55150265
2005-02-28,ILLINOIS,5.253497
2005-03-01,ILLINOIS,0.4645637
2005-03-02,ILLINOIS,0.0007018742
2005-03-03,ILLINOIS,0.0032059406
2005-03-04,ILLINOIS,0.87259656
2005-03-05,ILLINOIS,0.37408897
2005-03-06,ILLINOIS,0.0
2005-03-07,ILLINOIS,2.0663974
2005-03-08,ILLINOIS,0.04116661
2005-03-09,ILLINOIS,0.007811644
2005-03-10,ILLINOIS,1.8208393
2005-03-11,ILLINOIS,0.7057819
2005-03-12,ILLINOIS,1.3458545
2005-03-13,ILLINOIS,0.2069423
2005-03-14,ILLINOIS,0.05487997
2005-03-15,ILLINOIS,0.005293087
2005-03-16,ILLINOIS,0.28675836
2005-03-17,ILLINOIS,0.90643626
2005-03-18,ILLINOIS,0.10662685
2005-03-19,ILLINOIS,2.5694942
2005-03-20,ILLINOIS,0.013807683
2005-03-21,ILLINOIS,0.00088606105
2005-03-22,ILLINOIS,11.20961
2005-03-23,ILLINOIS,7.7127976
2005-03-24,ILLINOIS,1.4870938
2005-03-25,ILLINOIS,6.239645
2005-03-26,ILLINOIS,0.29475722
2005-03-27,ILLINOIS,1.6686296
2005-03-28,ILLINOIS,2.2213433
2005-03-29,ILLINOIS,0.0
2005-03-30,ILLINOIS,3.0673115
2005-03-31,ILLINOIS,2.113965
2005-04-01,ILLINOIS,1.4731718
2005-04-02,ILLINOIS,2.5468242
2005-04-03,ILLINOIS,0.01748903
2005-04-04,ILLINOIS,0.0017924532
2005-04-05,ILLINOIS,0.004793479
2005-04-06,ILLINOIS,4.854829
2005-04-07,ILLINOIS,3.6140654
2005-04-08,ILLINOIS,0.049002573
2005-04-09,ILLINOIS,0.0004356695
2005-04-10,ILLINOIS,0.14769101
2005-04-11,ILLINOIS,2.386859
2005-04-12,ILLINOIS,19.058468
2005-04-13,ILLINOIS,2.7356195
2005-04-14,ILLINOIS,9.0722443e-07
2005-04-15,ILLINOIS,0.0
2005-04-16,ILLINOIS,0.018230045
2005-04-17,ILLINOIS,0.41927785
2005-04-18,ILLINOIS,0.04517651
2005-04-19,ILLINOIS,0.06964953
2005-04-20,ILLINOIS,6.5222545
2005-04-21,ILLINOIS,4.753871
2005-04-22,ILLINOIS,13.81299
2005-04-23,ILLINOIS,2.3423815
2005-04-24,ILLINOIS,0.007771987
2005-04-25,ILLINOIS,0.16575973
2005-04-26,ILLINOIS,5.569772
2005-04-27,ILLINOIS,0.3639005
2005-04-28,ILLINOIS,1.793649
2005-04-29,ILLINOIS,2.469853
2005-04-30,ILLINOIS,0.7070049
2005-05-01,ILLINOIS,0.30480537
2005-05-02,ILLINOIS,0.085571036
2005-05-03,ILLINOIS,0.25066963
2005-05-04,ILLINOIS,0.00085696013
2005-05-05,ILLINOIS,0.007883471
2005-05-06,ILLINOIS,0.086100355
2005-05-07,ILLINOIS,0.11060439
2005-05-08,ILLINOIS,0.20712954
2005-05-09,ILLINOIS,4.969431
2005-05-10,ILLINOIS,0.41193965
2005-05-11,ILLINOIS,1.3296897
2005-05-12,ILLINOIS,4.8673515
2005-05-13,ILLINOIS,6.6916246
2005-05-14,ILLINOIS,9.093374
2005-05-15,ILLINOIS,0.10382935
2005-05-16,ILLINOIS,0.008609864
2005-05-17,ILLINOIS,0.027193287
2005-05-18,ILLINOIS,0.041364662
2005-05-19,ILLINOIS,6.5951138
2005-05-20,ILLINOIS,3.1277242
2005-05-21,ILLINOIS,0.21552108
2005-05-22,ILLINOIS,1.0822085
2005-05-23,ILLINOIS,0.014055744
2005-05-24,ILLINOIS,0.007697577
2005-05-25,ILLINOIS,0.00085564924
2005-05-26,ILLINOIS,0.1286695
2005-05-27,ILLINOIS,0.4523737
2005-05-28,ILLINOIS,0.6707489
2005-05-29,ILLINOIS,0.97186846
2005-05-30,ILLINOIS,1.1711633
2005-05-31,ILLINOIS,0.00044220846
2005-06-01,ILLINOIS,0.09404552
2005-06-02,ILLINOIS,1.2198808
2005-06-03,ILLINOIS,0.37053376
2005-06-04,ILLINOIS,0.22980581
2005-06-05,ILLINOIS,2.64459
2005-06-06,ILLINOIS,0.08387058
2005-06-07,ILLINOIS,0.3322294
2005-06-08,ILLINOIS,3.8062422
2005-06-09,ILLINOIS,4.881578
2005-06-10,ILLINOIS,3.7385793
2005-06-11,ILLINOIS,5.2510514
2005-06-12,ILLINOIS,6.650447
2005-06-13,ILLINOIS,7.011197
2005-06-14,ILLINOIS,2.898863
2005-06-15,ILLINOIS,0.22149166
2005-06-16,ILLINOIS,0.021076912
2005-06-17,ILLINOIS,0.006158963
2005-06-18,ILLINOIS,0.0016409353
2005-06-19,ILLINOIS,0.0027536573
2005-06-20,ILLINOIS,0.0008570412
2005-06-21,ILLINOIS,0.07270272
2005-06-22,ILLINOIS,0.020134442
2005-06-23,ILLINOIS,0.03265435
2005-06-24,ILLINOIS,0.00934873
2005-06-25,ILLINOIS,0.21072139
2005-06-26,ILLINOIS,0.19703203
2005-06-27,ILLINOIS,1.353844
2005-06-28,ILLINOIS,3.1709218
2005-06-29,ILLINOIS,2.5248892
2005-06-30,ILLINOIS,1.3639802
2005-07-01,ILLINOIS,0.62420726
2005-07-02,ILLINOIS,0.00068358
2005-07-03,ILLINOIS,3.7956e-05
2005-07-04,ILLINOIS,4.1273565
2005-07-05,ILLINOIS,6.92545
2005-07-06,ILLINOIS,0.16857213
2005-07-07,ILLINOIS,0.25637248
2005-07-08,ILLINOIS,0.0013324632
2005-07-09,ILLINOIS,0.001162336
2005-07-10,ILLINOIS,0.0013874728
2005-07-11,ILLINOIS,5.0662503
2005-07-12,ILLINOIS,19.222475
2005-07-13,ILLINOIS,3.1151397
2005-07-14,ILLINOIS,1.4639342
2005-07-15,ILLINOIS,3.6314127
2005-07-16,ILLINOIS,1.624362
2005-07-17,ILLINOIS,0.87260246
2005-07-18,ILLINOIS,2.7069392
2005-07-19,ILLINOIS,1.7377721
2005-07-20,ILLINOIS,2.16591
2005-07-21,ILLINOIS,3.5590289
2005-07-22,ILLINOIS,0.8645041
2005-07-23,ILLINOIS,0.028999915
2005-07-24,ILLINOIS,0.015704496
2005-07-25,ILLINOIS,1.613388
2005-07-26,ILLINOIS,9.7746725
2005-07-27,ILLINOIS,10.747027
2005-07-28,ILLINOIS,0.0015522157
2005-07-29,ILLINOIS,0.010036598
2005-07-30,ILLINOIS,0.0568683
2005-07-31,ILLINOIS,0.041384496
2005-08-01,ILLINOIS,0.0008742468
2005-08-02,ILLINOIS,0.0056852577
2005-08-03,ILLINOIS,0.014662738
2005-08-04,ILLINOIS,2.2473998
2005-08-05,ILLINOIS,1.4747578
2005-08-06,ILLINOIS,1.0906026
2005-08-07,ILLINOIS,0.5449938
2005-08-08,ILLINOIS,0.6632858
2005-08-09,ILLINOIS,0.009551576
2005-08-10,ILLINOIS,0.43927777
2005-08-11,ILLINOIS,1.6835608
2005-08-12,ILLINOIS,4.946523
2005-08-13,ILLINOIS,11.589821
2005-08-14,ILLINOIS,11.810278
2005-08-15,ILLINOIS,4.4632187
2005-08-16,ILLINOIS,7.064972
2005-08-17,ILLINOIS,0.27064383
2005-08-18,ILLINOIS,1.1747416
2005-08-19,ILLINOIS,3.3357086
2005-08-20,ILLINOIS,12.239774
2005-08-21,ILLINOIS,0.06554263
2005-08-22,ILLINOIS,0.08466078
2005-08-23,ILLINOIS,0.04644791
2005-08-24,ILLINOIS,0.062164657
2005-08-25,ILLINOIS,2.0385902
2005-08-26,ILLINOIS,6.9135547
2005-08-27,ILLINOIS,3.2281425
2005-08-28,ILLINOIS,0.38984907
2005-08-29,ILLINOIS,0.17813794
2005-08-30,ILLINOIS,6.44602
2005-08-31,ILLINOIS,0.0946832
2005-09-01,ILLINOIS,0.090035394
2005-09-02,ILLINOIS,0.00085602375
2005-09-03,ILLINOIS,0.0
2005-09-04,ILLINOIS,0.14392656
2005-09-05,ILLINOIS,0.00519107
2005-09-06,ILLINOIS,0.0058679506
2005-09-07,ILLINOIS,0.14226913
2005-09-08,ILLINOIS,0.2730623
